UniqueID,Class,Order,Family,ScientificName,CommonName,Plate,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,FreshSaltWater,RiverStream,LakePond,Estuary,Ocean,Reef,PreferredBottomSubstrate,SizeMaximumInches,Habitat,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
F0001,Cephalospidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra tridentata,Pacific Lamprey,42 487,38,,,,,,,,,,,UNKNOWN,COMMON,,Both,1,1,0,1,0,SILTY MUD TO SAND,30,Adults migrate to the open ocean. Juveniles in coastal marine waters or large inland freshwater streams. Larvae in pools and eddies over silty mud to sand bottoms.,"These lamprey adults leave the ocean and ascend streams in the late spring and early summer to spawn in shallow water over gravel nests. They die soon after spawning. The larvae live in the stream for five to six years before entering the ocean, where they become parasitic on various fish for one to two years. ",Nocturnal,Spring Summer Fall Winter,Least Concern,"Algae, detritus, salmonids, and whales.","Herons, gulls, seals, and sea lions."
F0002,Cephalospidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon marinus,Sea Lamprey,43 485 486,39,COMMON,,UNKNOWN,,,,,,UNKNOWN,,,,,Both,1,1,1,1,0,SILTY MUD TO SAND,33,"In oceans to depths of 3000ft or more, along coasts in estuaries and fresh water. Larvae in pools of creeks rivers or estuaries over silty mud to sand bottoms.","Sea lampreys thrive in systems where waterways lack obstructions (damsn or waterfallw), clean sand and gravel, sand beds free of pollutants with a large supply of organic matter, and large waterways with plentiful fish supply to serve as hosts. The larvae remain in freshwater or estuarine areas for four to five years before they transform into adults and enter the ocean. The introduced population in the Great Lakes is landlocked and completes its entire life cycle in inland waters.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Algae, detritus, and fish.","Humans, trout, whitefish, chubs, burbot, walleye, and catfish."
F0003,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus colliei,Spotted Ratfish,698,41,,,,,,,,,,,UNKNOWN,UNKNOWN,,Salt,0,0,1,1,0,SAND MUD ROCK,38,Close inshore from WA northward southward to depths of nearly 3000ft,"All chimaerids deposit their eggs, which are fertilized internaly, in elongate ridged brown cases. Care should be taken in handling them, as the venomous spines can cause a painful wound, and the clasping organs are quite sharp. Most commonly are found living near the sea floor in sandy, muddy, or rocky reef environments.",Nocturnal,Spring Fall,Least Concern,"Crabs, clams, shrimp, and sea stars.",Sharks and halibut.
F0004,Chondrichthyes,Hexanchiformes,Hexanchidae,Notorynchus cepedianus,Broadnose Sevengill Shark,720,43,,,,,,,,,,,COMMON,COMMON,,Salt,0,0,1,1,0,ANY,108,"Bays over soft bottoms and off open coasts to depths of 150ft. Benthic animals associated with continental shelves.  Smaller individuals prefer to inhavit shallow, coastal waters and are commin in shallow bays near shores and estuaries.",Can be quite abundant in coastal range.,Any,Spring Summer,Vulnerable,"Sharks, rays, chimearas, dolphins, seal, fish, and mammals.",Great white sharks and killer whales.
F0005,Chondrichthyes,Squaliformes,Squalidae,Squalus acanthias,Spiny Dogfish,704,45,,,COMMON,,,,,,,,ABUNDANT,ABUNDANT,,Salt,0,0,1,1,0,SOFT BOTTOM,60,Temperate coastal waters over soft bottoms to depths of 1200ft.,Can be abundant and may be considered a pest. Can form large schools of hundreds of sharks.,Diurnal,Spring Summer Fall,Endangered,"Bony fish, smaller shakrs, octopus, squid, crabs, and eggs.",Humans
F0006,Chondrichthyes,Squatiniformes,Squatinidae,Squatina californica,Pacific Angel Shark,305,46,,,,,,,,,,,UNKNOWN,UNKNOWN,,Salt,0,0,0,1,1,SAND OR MUD,60,"Neer reefs over sand or mud to depths of 600ft. Often found on continental shelf in littoral zones, in shallow bays, in sand channels, and in kelp forests.","Generally found in shallow waters. They partially bury themselves during the day, and actively hunt at night.",Nocturnal,Spring Summer,Near Threatened,"Bony fish, squid, and octopus.","Great white shakrs, broadnosed sevengill sharks, and humans."
F0007,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,Ginglymostoma cirratum,Nurse Shark,703,48,,,,,,,,,,UNCOMMON,,,,Salt,0,0,0,1,1,SAND,168,"Inshore often on shallow sand flats in channels and around coral reefs. Adults are more wide-ranging, inhabiting deeper reefs, around bridges, rocky areas, and boulders.  Juveniles are more often found in crevices in shallow lagoons.","Sometimes seen resting, motionless on the bottom. ",Nocturnal,Spring Summer Fall,Vulnerable,"Small fish, sea urchins, and a variety of crustaceans.",Other sharks.
F0008,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon carcharias,Great White Shark,717,53,,,UNKNOWN,,,,,,,,UNKNOWN,UNKNOWN,,Salt,0,0,0,1,0,,252,Surface of coastal waters mostly in warm- and cold-temperate latitudes.,"They are notorious for short, fas chaes and are sometimes seen breaking the surface of the water in impressive jumps.",Any,Spring Summer,Vulnerable,"Seals, dolphins, whale carcasses, and squid.",Humans.
F0009,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis semifasciata,Leopard Shark,708,58,,,,,,,,,,,,UNKNOWN,,Salt,0,0,1,1,0,SAND OR MUD,60,Shallow bays over sand and mud to depths of 300ft. Temperate shallow bays and estuaries provide the ideal habitat. ,Travel in schools. They spend their days near the surface and the nights at greater depths. Harmless to humans. ,Any,Spring Summer,Least Concern,"Fish, eggs, crabs, shrimp, and clams.","White sharks, sevengill sharks, and humans."
F0010,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,Bull Shark,716,59,,,,,,,,,,RARE,,,,Salt,1,0,1,1,0,,132,Inshore never far from land ascends large rivers for considerable distances.,"They occasionally occupy rivers. They can be found in ocean inlets where saltwater meets freshwater, and are the only shark species that can tolerate prolonged periods in freshwaters environments. Bull sharks will give birth in estuaries and the young will remain in the estuary until temperatures drop seasonally. Considered aggressive. ",Any,Spring Summer,Vulnerable,"Catfish, stingrays, fish, birds, and turtles.",Bull sharks and humans.
F0011,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus limbatus,Blacktip Shark,712,60,,,,,,,,,,UNCOMMON,,,,Salt,0,0,1,1,0,MUD,96,"Commonly found close to shore, in estuaries as well as river mouths. They are also found in shallow muddy bays, mangrove swamps of high salinitiy, and lagoons.",Known to leap out of the water and spin before landing. Fast swimming sharks that often travel in schools. ,Nocturnal,Fall Winter,Vulnerable,"Fish, skaes, rays, squid, crabs, and lobsters.",Humans.
F0012,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus plumbeus,Sandbar Shark,706,62,,,,,,,,,,RARE,,,,Salt,0,0,1,1,0,MUD SAND,96,"Inshore and over bottoms of shallow bays and estuaries. Commonly found over muddy or sandy bottoms in shallow coastal waters such as bays, estuaries, habrods, or the mouths of rivers.",Not a threat to humans. ,Nocturnal,Spring Summer,Endangered,"Small fish, mollusks, and crustaceans.",Humans and other sharks.
F0013,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo cuvier,Tiger Shark,715,62,,,,,,,,,,RARE,,,,Salt,0,0,1,1,0,,216,Near surface of coastal and offshore waters. Have been documented in river estuaries and harbors.,Voracious and dangerous. Moves in an S shaped fashion. Solitary.,Nocturnal,Spring Winter,Near Threatened,"Mollusks, birds, snakes, crustaceans, turtles, and manatees.",Humans.
F0014,Chondrichthyes,Torpediniformes,Narcinidae,Narcine brasiliensis,Lesser Electric Ray,306,66,,,,,,,,,,UNKNOWN,,,,Salt,0,0,1,1,0,SAND OR MUD,18,"Over bottom in surf zone to depths of about 120 ft. Commonly found under sand or mud, in intertidal shallow waters.","Reported to deliver 37 volts, but it is unlikelty that the eletric organ is used as an offensive weapon.",Nocturnal,Spring Summer,Least Concern,"Worms, eels, small fish, and various crustaceans.",Sharks.
F0015,Chondrichthyes,Pristiformes,Pristidae,Pristis pectinata,Smalltooth Sawfish,702,68,,,,,,,,,,RARE,,,,Salt,1,0,1,1,0,SAND OR MUD,216,"Estuaries, lower parts of large rivers, and shallow coastal waters.",Sawfishes slash their saw-like snout from side to side among schooling fish in order to stun or kill them.,Any,Spring Summer,Critically Endangered,Fish and crustaceans.,Sharks and humans.
F0016,Chondrichthyes,Rajiformes,Rajidae,Raja binoculata,Big Skate,314,71,,,,,,,,,,,COMMON,UNCOMMON,,Salt,0,0,1,1,0,SOFT,96,"Over soft bottoms at depths of 10-360ft. Occurs in coastal bays, estuaries, and over the continental shelf, usually on sandy or muddy bottoms, but occasionaly on low strands of kelp.",,,,,,
F0017,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis americana,Southern Stingray,321 322,74,,,,,,,,,,UNCOMMON,,,,Salt,0,0,,1,0,,,Near shore and in bays,,,,,,
F0018,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis sabina,Atlantic Stingray,312,74,,,,,,,,,,UNCOMMON,,,,Salt,,0,1,1,0,SAND OR MUD,,Shallow usually inshore estuarine or fresh waters over sand or sandy mud often near sea-grass beds usually to depths of 8ft sometimes to 70ft,,,,,,
F0019,Chondrichthyes,Myliobatiformes,Myliobatidae,Aetobatus narinari,Spotted Eagle Ray,319,78,,,,,,,,,,UNKNOWN,,,,Salt,0,0,,1,0,,,Surface of coastal waters.,,,,,,
F0020,Chondrichthyes,Myliobatiformes,Mobulidae,Manta birostris,Atlantic Manta,317,80,,,,,,,,,,UNKNOWN,,,,Salt,0,0,,1,0,,,Primarily bottoms of shallow bays and over continental shelf.,,,,,,
F0021,Chondrichthyes,Myliobatiformes,Urotrygonidae,Urolophus halleri,round stingray,310,76,,,,,,,,,,,,UNKNOWN,,Salt,0,0,,1,0,SAND OR MUD,,Shallow bays and off coast over sand or mud to depths of 70ft,,,,,,
F0022,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser fulvescens,Lake Sturgeon,31,82,RARE,,,,,,,,UNKNOWN,,,,,Fresh,1,1,0,0,0,SAND GRAVEL OR ROCKS,,Rivers and lakes over clean sand gravel or rocks,,,,,,
F0023,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser medirostris,Green Sturgeon,,,,,,,,,,,,,,UNKNOWN,,Both,1,0,1,0,0,,,Found in estuaries lower reaches of large rivers and in salt or brackish water off river mouths. Probably spawns in fresh water. ,,,,,,
F0024,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser transmontanus,White Sturgeon,32 635,83,,,,,,,,,,,UNKNOWN /N,UNKNOWN,,Both,1,0,1,1,0,SOFT,,Oceans over soft bottoms deep pools of large rivers,,,,,,
F0025,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon spathula,Paddlefish,30,86,,,,,,,,,,,,,,Fresh,1,1,0,0,0,,,Backwaters bayous impoundments lake and pools of large rivers.,,,,,,
F0026,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus oculatus,Spotted Gar,28,87,UNKNOWN,,,,,,,,,,,,,Fresh,1,1,0,0,0,,,Clear pools with aquatic vegetation in streams swamps and lakes. ,,,,,,
F0027,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus osseus,Longnose Gar,27,88,UNCOMMON,UNKNOWN,,,,,,,,,,,,Fresh,1,1,0,0,0,,,Backwaters large creeks lakes and reservoirs. Young in or neat aquatic vegetation.,,,,,,
F0028,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus platyrhincus,Florida gar,,,,,,,,,,,,ABUNDANT,,,,Fresh,1,1,0,0,0,SAND OR MUD,,Medium to large lowland streams canals and lakes with muddy or sandy bottoms and must be near abundant underwater vegetation.,,,,,,
F0029,Actinopterygii,Amiiformes,Amiidae,Amia calva,Bowfin,46,89,UNKNOWN,,,,,,,,,,,,,Fresh,1,,0,0,0,,,Low-gradient sluggish streams swamps and oxbow lakes in quiet usually clear waters with vegetation.,,,,,,
F0030,Actinopterygii,Elopiformes,Megalopidae,Megalops atlanticus,Tarpon,643,93,,,,,,,,,,COMMON,,,,Both,0,0,,1,0,,,Primarily shallow coastal waters and estuaries. Young and sometimes adults enter fresh waters.,,,,,,
F0031,Actinopterygii,Anguilliformes,Anguillidae,Anguilla rostrata,American Eel,44 500,97,,,ABUNDANT,,,,,,,UNCOMMON,,,,Both,,0,1,1,0,,,Brackish or fresh waters migrates to sea to spawn.,,,,,,
F0032,Actinopterygii,Perciformes,Pholidae,Apodichthys fucorum,Rockweed Gunnel,,,,,,,,,,,,,,UNKNOWN,,Salt,0,0,1,1,0,,,Intertidal zones at depths of up to 9 metres. It commonly occurs in tide pools and inshore areas among masses of brown seaweed.,,,,,,
F0033,Actinopterygii,Perciformes,Pholidae,Pholis ornata,Saddleback Gunnel,,,,,,,,,,,,,,UNKNOWN,,Salt,0,0,1,1,0,,,Found at depths of 0 - 50 meters along the coast and in estuaries.,,,,,,
F0034,Actinopterygii,Perciformes,Pholidae,Apodichthys flavidus,Penpoint Gunnel,503,491,,,,,,,,,,,,UNKNOWN,,Salt,,0,1,1,0,,,Intertidal zone among rocks and shallow eelgrass beds.,,,,,,
F0035,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax moringa,Spotted Moray,492,100,,,,,,,,,,OCCASIONAL,,,,Salt,0,0,0,1,1,,,Shallow coral reefs and rocky coasts rarely to depths of 656ft,,,,,,
F0036,Actinopterygii,Clupeiformes,Engraulidae,Anchoa mitchilli,Bay Anchovy,184. 644,106,,,,,,,,,,ABUNDANT,,,,Salt,,0,1,1,0,,,Abundant in inshore waters particularly in shallow bays and estuaries frequently enters brackish water occasionally fresh water.,,,,,,
F0037,Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,Northern Anchovy,646,107,,,,,,,,,,,,COMMON,,Salt,0,0,,1,0,,,Surface of coastal waters usually near shore occasionally to depths of 720ft,,,,,,
F0038,Actinopterygii,Clupeiformes,Engraulidae,Anchoa hepsetus,Striped Anchovy,645,106,,,,,,,,,,COMMON,,,,Salt,0,0,,1,0,,,Shallow coastal waters to depths of 210ft,,,,,,
F0039,Actinopterygii,Clupeiformes,Clupeidae,Alosa pseudoharengus,Alewife,159 651,109,COMMON,,COMMON,,,,,,UNKNOWN,,,,,Both,,0,1,1,0,,,Bays estuaries and fresh water.,,,,,,
F0040,Actinopterygii,Clupeiformes,Clupeidae,Alosa sapidissima,American Shad,162 680,110,,,,,,,,,,,,UNKNOWN,,Both,,0,1,1,0,,,Bays estuaries and fresh water.,,,,,,
F0041,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma cepedianum,Gizzard Shad,164 678,112,UNKNOWN,UNCOMMON,,,,,,,,,,,,Fresh,1,1,1,0,0,,,Large rivers reservoirs lakes and estuaries. ,,,,,,
F0042,Actinopterygii,Clupeiformes,Clupeidae,Clupea pallasii,Pacific herring,160,111,,,,,,,,,,,,COMMON,,Salt,0,0,1,1,0,,,Inshore waters,,,,,,
F0043,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus carpio,Common Carp,156,122,COMMON,UNKNOWN,,,,,UNKNOWN,,,,,UNKNOWN,,Fresh,1,1,0,0,0,MUD OR SILT,,Streams lakes ponds sloughs  and reservoirs with clear to turbid waters and aquatic vegetation over mud or silt more common in warm waters.,,,,,,
F0044,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis biguttatus,Hornyhead Chub,138,139,UNCOMMON,,,,,,,,,,,,,Fresh,1,0,0,0,0,GRAVEL,,Clear pools of creeks and small rivers with moderate current over gravel.,,,,,,
F0045,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis micropogon,River Chub,140,141,UNKNOWN,COMMON,,,,,,,,,,,,Fresh,1,0,0,0,0,GRAVEL OR ROCKS,,Pools of medium to large creeks and rivers with clear waters and moderate to swift current over gravel or rocks.,,,,,,
F0046,Actinopterygii,Cypriniformes,Cyprinidae,Semotilus atromaculatus,Creek Chub,150,161,UNCOMMON,,UNCOMMON,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,SAND GRAVEL OR ROCKS,,Small clear to turbid streams and lakes over sand gravel or rocks.,,,,,,
F0047,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus chrysocephalus,Striped Shiner,222,134,,RARE,,,,,,,,,,,,Fresh,1,0,0,0,0,SAND GRAVEL OR ROCKS,,Riffles and pools of clear creeks and small rivers with moderate current over sand gravel or rocks.,,,,,,
F0048,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus cornutus,Common Shiner,217,135,COMMON,,UNCOMMON,,,,,,,,,,,Fresh,1,0,0,0,0,FIRM,,Riffles and pools of clear cool creeks and small rivers with moderate current over firm bottoms,,,,,,
F0049,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus crysoleucas,Golden Shiner,166,141,UNKNOWN,,ABUNDANT,,,,,,UNKNOWN,UNCOMMON,,UNKNOWN,,Fresh,1,1,0,0,0,MUD SAND OR ROCKS,,Clear quiet streams lakes ponds and swamps over mud sand or rocks,,,,,,
F0050,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales notatus,Bluntnose Minnow,194,152,COMMON,UNKNOWN,,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,SAND GRAVEL OR ROCKS,,Clear to turbid pools of creeks small rivers and lakes over sand gravel or rocks,,,,,,
F0051,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales promelas,Fathead Minnow,227,153,UNCOMMON,RARE,,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,SAND GRAVEL OR MUD,,Clear pools of creeks and shallow ponds and lakes over sand gravel or mud.,,,,,,
F0052,Actinopterygii,Cypriniformes,Cyprinidae,Mylocheilus caurinus,Peamouth,,,,,,,COMMON,,,,,,COMMON /UNKNOWN,RARE,,Fresh,1,1,0,0,0,,,Shallows weedy zones of lakes and rivers where it is most common among vegetation. If is usually found near the bed in depths of less than 60ft although in winter they will move to the deeper parts of lakes.,,,,,,
F0053,Actinopterygii,Cypriniformes,Leuciscidae,Couesius plumbeus,Lake Chub,211,117,RARE,,,UNCOMMON - N,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,SAND OR GRAVEL,,Rivers creeks and lakes in clear to turbid waters over sand or gravel.,,,,,,
F0054,Actinopterygii,Cypriniformes,Leuciscidae,Cyprinella spiloptera,Spotfin Shiner,221,121,UNKNOWN,,,,,,,,,,,,,Fresh,1,0,0,0,0,SAND OR GRAVEL,,Clear to slightly turbid pools and channels of large creeks and rivers with moderate current over firm sand or gravel.,,,,,,
F0055,Actinopterygii,Cypriniformes,Leuciscidae,Hybognathus hankinsoni,Brassy Minnow,199,129,UNKNOWN,,,,,,,,UNKNOWN,,,,,Fresh,1,1,0,0,0,MUD OR SILT,,Cool sluggish streams and dark-stained waters of bogs and ponds with vegetation over silt or mud,,,,,,
F0056,Actinopterygii,Cypriniformes,Leuciscidae,Notropis leuciodus,Tennessee Shiner,,,,COMMON,,,,,,,,,,,,Fresh,1,0,0,0,0,GRAVEL,,Pools creeks and small to medium rivers. It prefers cool clear waters over gravelly substrates. ,,,,,,
F0057,Actinopterygii,Cypriniformes,Leuciscidae,Notropis rubricroceus,Saffron Shiner,,,,COMMON,,,,,,,,,,,,Fresh,1,0,0,0,0,ROCKY,,Cold clear rocky streams and creeks.,,,,,,
F0058,Actinopterygii,Cypriniformes,Leuciscidae,Notropis atherinoides,Emerald Shiner,204,142,RARE,,,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,,,Large streams lakes and reservoirs in open clear to slightly turbid waters.,,,,,,
F0059,Actinopterygii,Cypriniformes,Leuciscidae,Notropis hudsonius,Spottail Shiner,209,144,COMMON,,,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,SAND GRAVEL OR ROCKS,,Creeks and rivers with slow to moderately swift current over sand gravel or rocks lakes,,,,,,
F0060,Actinopterygii,Cypriniformes,Leuciscidae,Notropis maculatus,Taillight Shiner,205,145,,,,,,,,,,RARE,,,,Fresh,1,1,0,0,0,,,Clear to dark-stained backwaters and quiet areas of lowland rivers streams and lakes with some aquatic vegetation.,,,,,,
F0061,Actinopterygii,Cypriniformes,Leuciscidae,Notropis rubellus,Rosyface Shiner,215,146,UNCOMMON,,,,,,,,,,,,,Fresh,1,1,0,0,0,GRAVEL OR ROCKS,,Clear pools and riffles of large creeks to small rivers with moderate current over gravel or rocks.,,,,,,
F0062,Actinopterygii,Cypriniformes,Leuciscidae,Notropis volucellus,Mimic Shiner,208,147,UNKNOWN,,,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,SAND GRAVEL OR ROCKS,,Medium to large streams with clear to turbid waters and moderate current over sand gravel or rocks clear lakes.,,,,,,
F0063,Actinopterygii,Cypriniformes,Leuciscidae,Phoxinus eos,Northern Redbelly Dace,,,UNKNOWN,,COMMON,,,,,,UNCOMMON,,,,,Fresh,1,1,0,0,0,,,Cool quiet boggy streams and lakes. Water supplied by clear cool springs or seeps absence of strong currents effective cover like undercut banks and heavy brushy vegetation and minimal large piscivore fish populations.Small lake habitats also share these characteristics.,,,,,,
F0064,Actinopterygii,Cypriniformes,Leuciscidae,Rhinichthys atratulus,Blacknose Dace,180,158,UNKNOWN,COMMON,,,,,,,UNKNOWN,,,,,Fresh,1,1,0,0,0,GRAVEL OR ROCKS,,Springs and cool clear creeks with moderate to swift current over gravel or rocks.,,,,,,
F0065,Actinopterygii,Cypriniformes,Leuciscidae,Rhinichthys cataractae,Longnose Dace,181,158,COMMON,COMMON,,ABUNDANT - COMMON,COMMON,,,,UNKNOWN,,UNCOMMON /UNKNOWN,,,Fresh,1,1,0,0,0,GRAVEL OR ROCKS,,Clear to turbid streams usually in swift riffles over gravel or rocks lakes,,,,,,
